id,product_id/id,product_tmpl_id/id,product_qty,product_uom_id/id,code,type
bom_sf_kem_dau__do_ngot_it__do_tra_nhat__da_khong,pp_kem_dau__do_ngot_it__do_tra_nhat__da_khong,,210.0,uom.product_uom_litre,BOM_SF_KEM_DAU,normal
bom_sf_kem_dau__do_ngot_it__do_tra_nhat__da_it,pp_kem_dau__do_ngot_it__do_tra_nhat__da_it,,210.0,uom.product_uom_litre,BOM_SF_KEM_DAU,normal
bom_sf_kem_dau__do_ngot_it__do_tra_nhat__da_vua,pp_kem_dau__do_ngot_it__do_tra_nhat__da_vua,,210.0,uom.product_uom_litre,BOM_SF_KEM_DAU,normal
bom_sf_kem_dau__do_ngot_it__do_tra_nhat__da_nhieu,pp_kem_dau__do_ngot_it__do_tra_nhat__da_nhieu,,210.0,uom.product_uom_litre,BOM_SF_KEM_DAU,normal
bom_sf_kem_dau__do_ngot_it__do_tra_vua__da_khong,pp_kem_dau__do_ngot_it__do_tra_vua__da_khong,,210.0,uom.product_uom_litre,BOM_SF_KEM_DAU,normal
bom_sf_kem_dau__do_ngot_it__do_tra_vua__da_it,pp_kem_dau__do_ngot_it__do_tra_vua__da_it,,210.0,uom.product_uom_litre,BOM_SF_KEM_DAU,normal
bom_sf_kem_dau__do_ngot_it__do_tra_vua__da_vua,pp_kem_dau__do_ngot_it__do_tra_vua__da_vua,,210.0,uom.product_uom_litre,BOM_SF_KEM_DAU,normal
bom_sf_kem_dau__do_ngot_it__do_tra_vua__da_nhieu,pp_kem_dau__do_ngot_it__do_tra_vua__da_nhieu,,210.0,uom.product_uom_litre,BOM_SF_KEM_DAU,normal
bom_sf_kem_dau__do_ngot_it__do_tra_dam__da_khong,pp_kem_dau__do_ngot_it__do_tra_dam__da_khong,,210.0,uom.product_uom_litre,BOM_SF_KEM_DAU,normal
bom_sf_kem_dau__do_ngot_it__do_tra_dam__da_it,pp_kem_dau__do_ngot_it__do_tra_dam__da_it,,210.0,uom.product_uom_litre,BOM_SF_KEM_DAU,normal
bom_sf_kem_dau__do_ngot_it__do_tra_dam__da_vua,pp_kem_dau__do_ngot_it__do_tra_dam__da_vua,,210.0,uom.product_uom_litre,BOM_SF_KEM_DAU,normal
bom_sf_kem_dau__do_ngot_it__do_tra_dam__da_nhieu,pp_kem_dau__do_ngot_it__do_tra_dam__da_nhieu,,210.0,uom.product_uom_litre,BOM_SF_KEM_DAU,normal
bom_sf_kem_dau__do_ngot_vua__do_tra_nhat__da_khong,pp_kem_dau__do_ngot_vua__do_tra_nhat__da_khong,,210.0,uom.product_uom_litre,BOM_SF_KEM_DAU,normal
bom_sf_kem_dau__do_ngot_vua__do_tra_nhat__da_it,pp_kem_dau__do_ngot_vua__do_tra_nhat__da_it,,210.0,uom.product_uom_litre,BOM_SF_KEM_DAU,normal
bom_sf_kem_dau__do_ngot_vua__do_tra_nhat__da_vua,pp_kem_dau__do_ngot_vua__do_tra_nhat__da_vua,,210.0,uom.product_uom_litre,BOM_SF_KEM_DAU,normal
bom_sf_kem_dau__do_ngot_vua__do_tra_nhat__da_nhieu,pp_kem_dau__do_ngot_vua__do_tra_nhat__da_nhieu,,210.0,uom.product_uom_litre,BOM_SF_KEM_DAU,normal
bom_sf_kem_dau__do_ngot_vua__do_tra_vua__da_khong,pp_kem_dau__do_ngot_vua__do_tra_vua__da_khong,,210.0,uom.product_uom_litre,BOM_SF_KEM_DAU,normal
bom_sf_kem_dau__do_ngot_vua__do_tra_vua__da_it,pp_kem_dau__do_ngot_vua__do_tra_vua__da_it,,210.0,uom.product_uom_litre,BOM_SF_KEM_DAU,normal
bom_sf_kem_dau__do_ngot_vua__do_tra_vua__da_vua,pp_kem_dau__do_ngot_vua__do_tra_vua__da_vua,,210.0,uom.product_uom_litre,BOM_SF_KEM_DAU,normal
bom_sf_kem_dau__do_ngot_vua__do_tra_vua__da_nhieu,pp_kem_dau__do_ngot_vua__do_tra_vua__da_nhieu,,210.0,uom.product_uom_litre,BOM_SF_KEM_DAU,normal
bom_sf_kem_dau__do_ngot_vua__do_tra_dam__da_khong,pp_kem_dau__do_ngot_vua__do_tra_dam__da_khong,,210.0,uom.product_uom_litre,BOM_SF_KEM_DAU,normal
bom_sf_kem_dau__do_ngot_vua__do_tra_dam__da_it,pp_kem_dau__do_ngot_vua__do_tra_dam__da_it,,210.0,uom.product_uom_litre,BOM_SF_KEM_DAU,normal
bom_sf_kem_dau__do_ngot_vua__do_tra_dam__da_vua,pp_kem_dau__do_ngot_vua__do_tra_dam__da_vua,,210.0,uom.product_uom_litre,BOM_SF_KEM_DAU,normal
